link,title,content,category,level,period,student,skill_covered,pre_ready
https://www.udacity.com/course/ai-for-healthcare-nanodegree--nd320,AI for Healthcare,"Be at the forefront of the revolution of AI in Healthcare, and transform patient outcomes. Enable enhanced medical decision-making powered by machine learning to build the treatments of the future.",SCHOOL OF ARTIFICIAL INTELLIGENCE,Advanced,4 Months,124 Reviews,"Artificial Intelligence, 2D Medical Imaging, 3D Medical Imaging, Electronic Health Record Data, Deep Learning, Wearable Device Data, Supervised Learning","Intermediate Python, and Experience with Machine Learning"
https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,Artificial Intelligence,"Learn essential Artificial Intelligence concepts from AI experts like Peter Norvig and Sebastian Thrun, including search, optimization, planning, pattern recognition, and more.",SCHOOL OF ARTIFICIAL INTELLIGENCE,Advanced,3 Months,317 Reviews,"AI Algorithms, Search Algorithms, Optimization, Planning, Pattern Recognition","Algebra, Calculus, Statistics, & Python"
https://www.udacity.com/course/artificial-intelligence-for-robotics--cs373,Artificial Intelligence for Robotics,"Learn how to program all the major systems of a robotic car. Topics include planning, search, localization, tracking, and control.",SCHOOL OF ARTIFICIAL INTELLIGENCE,Advanced,2 Months,111 Reviews,"Probabilistic Models, Kalman Filters, Motion Planning, Robot Control, Simultaneous Localization & Mapping",None
https://www.udacity.com/course/computer-vision-nanodegree--nd891,Computer Vision,"Learn the computer vision skills behind advances in robotics and automation. Write programs to analyze images, implement feature extraction, and recognize objects using deep learning models.",SCHOOL OF ARTIFICIAL INTELLIGENCE,Advanced,3 Months,714 Reviews,"Convolutional Neural Networks, Recurrent Neural Networks, Simultaneous Localization and Mapping, Object Tracking, Image Classification, Deep Learning","Python, Statistics, Machine Learning, & Deep Learning"
https://www.udacity.com/course/deep-reinforcement-learning-nanodegree--nd893,Deep Reinforcement Learning,Master the deep reinforcement learning skills that are powering amazing advances in AI. Then start applying these to applications like video games and robotics.,SCHOOL OF ARTIFICIAL INTELLIGENCE,Advanced,3 Months,457 Reviews,"Reinforcement Learning, Neural Networks, PyTorch, Deep Q-Networks (DQN), Deep Deterministic Policy Gradients (DDPG)","Experience with Python, Probability, Machine Learning, & Deep Learning."
https://www.udacity.com/course/intel-edge-ai-for-iot-developers-nanodegree--nd131,Intel?Edge AI for IoT Developers,Lead the development of cutting-edge Edge AI applications that are the future of the Internet of Things. Leverage the Intel?Distribution of OpenVINO?Toolkit to fast-track development of high-performance computer vision and deep learning inference applications.,SCHOOL OF ARTIFICIAL INTELLIGENCE,Advanced,3 Months,237 Reviews,"Edge AI, Computer Vision, Deep Learning, Edge Computing, AI Modeling, Deep Neural Networks (DNN), Convolutional Neural Networks (CNN), IoT, Intel?Distribution of OpenVINO?Toolkit, Intel?DevCloud for the Edge","Intermediate Python, and Experience with Deep Learning, Command Line, and OpenCV"
https://www.udacity.com/course/knowledge-based-ai-cognitive-systems--ud409,Knowledge-Based AI: Cognitive Systems,The twin goals of knowledge-based artificial intelligence (AI) are to build AI agents capable of human-level intelligence and gain insights into human cognition.,SCHOOL OF ARTIFICIAL INTELLIGENCE,Advanced,7 Weeks,266 Reviews,"Semantic Networks, Common-Sense Reasoning, Logic & Planning, Analogical Reasoning, Visuospatial Reasoning",None
https://www.udacity.com/course/machine-learning-dev-ops-engineer-nanodegree--nd0821,Machine Learning DevOps Engineer,"In this program,you will build theDevOps skills required to automate the various aspects and stages of machine learning model building and monitoring.",SCHOOL OF ARTIFICIAL INTELLIGENCE,Advanced,4 Months,289 Reviews,"API development, Automated model scoring, CI/CD, Model testing, Data Version Control, Machine Learning Pipelines",Prior experience with Python and Machine Learning
https://www.udacity.com/course/model-building-and-validation--ud919,Model Building and Validation,This course will teach you how to start from scratch in understanding and paying attention to what is important in the data and how to answer questions about data.,SCHOOL OF ARTIFICIAL INTELLIGENCE,Advanced,8 Weeks,302 Reviews,"Questioning, Modeling, Validation, Data Analysis, QMV Process",None
https://www.udacity.com/course/natural-language-processing-nanodegree--nd892,Natural Language Processing,"Learn the skills to get computers to understand, process, and respond to human language. Build models on real data, and get hands-on experience with sentiment analysis, machine translation, and more.",SCHOOL OF ARTIFICIAL INTELLIGENCE,Advanced,3 Months,465 Reviews,"Machine Learning, Speech Recognition, Sentiment Analysis, Machine Translation, Part of Speech Tagging","Python, Statistics, Machine Learning, & Deep Learning"
